isbn,title,edition,author,url_pdf,url_epub
978-0-306-48048-5,Fundamentals of Power Electronics,2nd ed. 2001,"Robert W. Erickson, Dragan Maksimovic",https://link.springer.com/content/pdf/10.1007%2Fb100747.pdf,https://link.springer.com/download/epub/10.1007%2F978-0-306-48048-5.epub
978-0-306-48247-2,Handbook of the Life Course,2003,"Jeylan T. Mortimer, Michael J. Shanahan",https://link.springer.com/content/pdf/10.1007%2Fb100507.pdf,https://link.springer.com/download/epub/10.1007%2F978-0-306-48247-2.epub
978-0-387-21736-9,All of Statistics,2004,Larry Wasserman,https://link.springer.com/content/pdf/10.1007%2F978-0-387-21736-9.pdf,https://link.springer.com/download/epub/10.1007%2F978-0-387-21736-9.epub
978-0-387-21777-2,Discrete Mathematics,2003,"László Lovász, József Pelikán, Katalin Vesztergombi",https://link.springer.com/content/pdf/10.1007%2Fb97469.pdf,https://link.springer.com/download/epub/10.1007%2Fb97469.epub
978-0-387-22592-0,Social Anxiety and Social Phobia in Youth,2005,Christopher Kearney,https://link.springer.com/content/pdf/10.1007%2Fb99417.pdf,https://link.springer.com/download/epub/10.1007%2F978-0-387-22592-0.epub
978-0-387-24158-6,Intuitive Probability and Random Processes using MATLAB®,2006,Steven Kay,https://link.springer.com/content/pdf/10.1007%2Fb104645.pdf,https://link.springer.com/download/epub/10.1007%2F978-0-387-24158-6.epub
978-0-387-28117-9,Developmental Neurobiology,4th ed. 2005,"Mahendra S. Rao, Marcus Jacobson",https://link.springer.com/content/pdf/10.1007%2F0-387-28117-7.pdf,https://link.springer.com/download/epub/10.1007%2F978-0-387-28117-9.epub
978-0-387-32353-4,Handbook of Disaster Research,2006,"Havidan Rodriguez, Enrico L. Quarantelli, Russell Dynes",https://link.springer.com/content/pdf/10.1007%2F978-0-387-32353-4.pdf,https://link.springer.com/download/epub/10.1007%2F978-0-387-32353-4.epub
978-0-387-36218-2,Handbook of the Sociology of Gender,1999,Janet Saltzman Chafetz,https://link.springer.com/content/pdf/10.1007%2F0-387-36218-5.pdf,https://link.springer.com/download/epub/10.1007%2F978-0-387-36218-2.epub
978-0-387-36274-8,Handbook of Sociological Theory,2001,Jonathan H. Turner,https://link.springer.com/content/pdf/10.1007%2F0-387-36274-6.pdf,https://link.springer.com/download/epub/10.1007%2F978-0-387-36274-8.epub
